reporter_code,country,import_value_avg,export_value_avg,import_dependence,net_import_exposure,hhi_partner,hhi_item,import_value_index_2023,vulnerability_index,concentration_index,exposure_index
072,Botswana,1070457.0,100872.0,0.9138824361046298,0.8277648722092598,0.8629362099877648,0.04573262182050803,383.3939393939394,0.7014586604877541,0.9775507547777469,0.8118954982037512
044,Bahamas,895264.0,5992.0,0.9933515005725343,0.9867030011450687,0.7325918748614488,0.02857933628910184,385.671875,0.792482735227606,0.8079483445881732,0.7986689789718329
064,Bhutan,264419.0,51632.0,0.8366339609746528,0.6732679219493056,0.8707051963545269,0.057487003383145927,25047.714285714286,0.6185584910293422,1.0,0.7711350946176054
426,Lesotho,412910.0,86773.0,0.8263439020338895,0.6526878040677789,0.8523425481949133,0.0335206167541142,192.47619047619048,0.6011491694925547,0.9513273075922212,0.7412204247324213
275,Palestine,928550.0,63334.0,0.9361477753446976,0.8722955506893951,0.4030743838262081,0.18744014479083881,202.67142857142858,0.7269204082460224,0.6117161305119537,0.680838697152395
562,Niger,919938.0,33253.0,0.9651140222683596,0.9302280445367193,0.28690899126281333,0.20771154764758087,584.198275862069,0.7601845503255295,0.5014509499319648,0.6566911101681037
028,Antigua and Barbuda,172534.0,3420.0,0.9805631017197677,0.9611262034395354,0.2792110714006124,0.030876861792649275,341.55263157894734,0.7778249712708152,0.2892632919302462,0.5824002995345876
096,Brunei Darussalam,578776.0,5570.0,0.9904679761648064,0.980935952329613,0.253329922951823,0.025216063070420326,308.85087719298247,0.7891625779045964,0.25299429831243736,0.5746952660677328
516,Namibia,898962.0,294131.0,0.7534718584385292,0.5069437168770582,0.5821840738256772,0.030376395499365362,280.16541353383457,0.5177016507016767,0.637065994884676,0.5654473883748765
308,Grenada,134363.0,1474.0,0.989148759174599,0.978297518349198,0.22425422284639793,0.0358852898138226,407.94117647058823,0.7876739695669662,0.2318293315057283,0.565336114342471
862,Venezuela (Bolivarian Republic of),2779814.0,72514.0,0.9745772575944982,0.9491545151889965,0.19860394004318271,0.06472991859417435,1462.7065217391305,0.7712224529230908,0.2355023994120841,0.556934431518688
626,Timor-Leste,314791.0,17515.0,0.9472925556565335,0.8945851113130668,0.18609392150038162,0.11182751105712656,5448.656862745098,0.7408724227008857,0.2752734538420428,0.5546328351573485
132,Cabo Verde,344728.0,4131.0,0.9881585396965537,0.9763170793931072,0.1969520263727024,0.02915634833313916,933.7777777777778,0.7866587387096388,0.19269810353866637,0.5490744846412497
776,Tonga,84169.0,1350.0,0.9842140343081655,0.9684280686163309,0.18494537495598012,0.04286208228117078,995.811320754717,0.782154751644535,0.19465181974870466,0.5471535788862029
478,Mauritania,1233388.0,24718.0,0.9803530068213648,0.9607060136427297,0.07967582138657445,0.13434503895320543,745.5684210526316,0.7776757319467434,0.1787990890288494,0.5381250747795858
446,"China, Macao SAR",2529051.0,60562.0,0.9766134939853948,0.9532269879707894,0.13140545577112606,0.08747690598808783,195.18627450980392,0.773267992621844,0.18438916129034982,0.5377164600892463
270,Gambia,232670.0,13990.0,0.9432822508716452,0.8865645017432904,0.09783559622928606,0.13145461428978222,846.7473684210527,0.7352379215464045,0.1963567864404268,0.5196854675040135
178,Congo,931923.0,11442.0,0.9878710785326994,0.9757421570653989,0.06140269586964693,0.10129338784077058,340.3008849557522,0.7861952164869084,0.11978250435470454,0.5196301316340268
462,Maldives,678540.0,24.0,0.9999646311917519,0.999929262383504,0.10732653398929347,0.019075032404852945,394.009009009009,0.8000592756397147,0.07804869477826838,0.5112550432951362
140,Central African Republic,146197.0,2435.0,0.9836172560417676,0.9672345120835352,0.0809777969385244,0.060377520048113004,1948.6153846153845,0.7816867618661828,0.09524349514556132,0.5071094551779342
882,Samoa,138771.0,9529.0,0.9357451112609575,0.871490222521915,0.17056433243451627,0.04261370622952308,449.29245283018867,0.7265149926974416,0.1778299575477571,0.5070409786375678
762,Tajikistan,1123536.0,268679.0,0.8070132845860732,0.6140265691721466,0.2884403244576948,0.09004754416825599,1181.532110091743,0.5792317141421314,0.3679140108670329,0.494704632832092
678,Sao Tome and Principe,72707.0,16260.0,0.817235604212798,0.634471208425596,0.2514516776111425,0.10071233651303763,246.58653846153845,0.5907288020218002,0.33764512144989217,0.489495329793037
024,Angola,2472666.0,102089.0,0.9603500138848162,0.9207000277696324,0.06644561141829772,0.06707856989438546,11687.870229007634,0.757239914091947,0.08623874321192632,0.4888394457399387
212,Dominica,73185.0,6710.0,0.9160147693848175,0.8320295387696351,0.15206106200514055,0.04023810258960287,3299.740740740741,0.704560806857926,0.15382206271930726,0.48426530920247846
690,Seychelles,229469.0,4709.0,0.9798913646883994,0.9597827293767989,0.07483837502800146,0.020746910007921403,7108.420168067227,0.7785864693627793,0.04261411916865086,0.48419752928512794
499,Montenegro,936962.0,93910.0,0.9089023661521508,0.8178047323043016,0.16646759065489386,0.029289169749800576,1154.0650406504064,0.6959288604754905,0.15779783249928145,0.48067644928500686
204,Benin,1835353.0,851366.0,0.6831205645249838,0.36624112904996764,0.27457066408689434,0.2576602967271849,498.5233644859813,0.4371709507121312,0.5446978726597161,0.48018171949116517
634,Qatar,3604960.0,58012.0,0.9841625871014029,0.9683251742028058,0.048319618320110364,0.02080315120781341,12479.592920353982,0.7846938589262065,0.012185788258482766,0.475690630659117
670,Saint Vincent and the Grenadines,118612.0,24170.0,0.8307209592245521,0.6614419184491043,0.2462016374428867,0.0429110453763021,406.44444444444446,0.6062110410204791,0.2651445773238064,0.46978445554181003
